First name,Family name,Country,Entry ,Time,Event,full_name,name_country,found_easy,possible_match,match_correct,new_swimmer,time_hundredths
Simone ,Manuel ,USA,A ,24.33,Women's 50 Freestyle,Simone Manuel,Simone Manuel USA,TRUE,,FALSE,FALSE,2433
Simone ,Manuel ,USA,A ,53.52,Women's 100 Freestyle,Simone Manuel,Simone Manuel USA,TRUE,,FALSE,FALSE,5352
Abbey ,Weitzeil ,USA,A ,24.28,Women's 50 Freestyle,Abbey Weitzeil,Abbey Weitzeil USA,TRUE,,FALSE,FALSE,2428
Abbey ,Weitzeil ,USA,A ,53.28,Women's 100 Freestyle,Abbey Weitzeil,Abbey Weitzeil USA,TRUE,,FALSE,FALSE,5328
Camille ,Cheng ,HKG,B ,25.95,Women's 50 Freestyle,Camille Cheng,Camille Cheng HKG,FALSE,,FALSE,TRUE,2595
Camille ,Cheng ,HKG,B ,54.86,Women's 100 Freestyle,Camille Cheng,Camille Cheng HKG,FALSE,,FALSE,TRUE,5486
Camille ,Cheng ,HKG,A ,01:58.8,Women's 200 Freestyle,Camille Cheng,Camille Cheng HKG,FALSE,,FALSE,TRUE,11880
Julie ,Meynen ,LUX,B ,25.31,Women's 50 Freestyle,Julie Meynen,Julie Meynen LUX,FALSE,,FALSE,TRUE,2531
Julie ,Meynen ,LUX,B ,55.18,Women's 100 Freestyle,Julie Meynen,Julie Meynen LUX,FALSE,,FALSE,TRUE,5518
Larissa ,Oliveira ,BRA,A ,54.03,Women's 100 Freestyle,Larissa Oliveira,Larissa Oliveira BRA,TRUE,,FALSE,FALSE,5403
Larissa ,Oliveira ,BRA,A ,01:57.4,Women's 200 Freestyle,Larissa Oliveira,Larissa Oliveira BRA,TRUE,,FALSE,FALSE,11740
Penny ,Oleksiak ,CAN,A ,53.31,Women's 100 Freestyle,Penny Oleksiak,Penny Oleksiak CAN,TRUE,,FALSE,FALSE,5331
Penny ,Oleksiak ,CAN,A ,56.99,Women's 100 Butterfly,Penny Oleksiak,Penny Oleksiak CAN,TRUE,,FALSE,FALSE,5699
Duo ,Shen ,CHN,A ,53.91,Women's 100 Freestyle,Duo Shen,Duo Shen CHN,TRUE,,FALSE,FALSE,5391
Duo ,Shen ,CHN,A ,01:55.8,Women's 200 Freestyle,Duo Shen,Duo Shen CHN,TRUE,,FALSE,FALSE,11580
Menghui ,Zhu ,CHN,A ,53.92,Women's 100 Freestyle,Menghui Zhu,Menghui Zhu CHN,TRUE,,FALSE,FALSE,5392
Charlotte ,Bonnet ,FRA,A ,53.8,Women's 100 Freestyle,Charlotte Bonnet,Charlotte Bonnet FRA,TRUE,,FALSE,FALSE,5380
Charlotte ,Bonnet ,FRA,A ,01:56.2,Women's 200 Freestyle,Charlotte Bonnet,Charlotte Bonnet FRA,TRUE,,FALSE,FALSE,11620
Beryl ,Gastaldello ,FRA,A ,53.98,Women's 100 Freestyle,Beryl Gastaldello,Beryl Gastaldello FRA,TRUE,,FALSE,FALSE,5398
Beryl ,Gastaldello ,FRA,A ,58.48,Women's 100 Butterfly,Beryl Gastaldello,Beryl Gastaldello FRA,TRUE,,FALSE,FALSE,5848
Federica ,Pellegrini ,ITA,A ,53.18,Women's 100 Freestyle,Federica Pellegrini,Federica Pellegrini ITA,TRUE,,FALSE,FALSE,5318
Federica ,Pellegrini ,ITA,A ,01:54.5,Women's 200 Freestyle,Federica Pellegrini,Federica Pellegrini ITA,TRUE,,FALSE,FALSE,11450
Miki ,Uchida ,JPN,A ,54.15,Women's 100 Freestyle,Miki Uchida,Miki Uchida JPN,TRUE,,FALSE,FALSE,5415
Femke ,Heemskerk ,NED,A ,52.69,Women's 100 Freestyle,Femke Heemskerk,Femke Heemskerk NED,TRUE,,FALSE,FALSE,5269
Femke ,Heemskerk ,NED,A ,01:54.7,Women's 200 Freestyle,Femke Heemskerk,Femke Heemskerk NED,TRUE,,FALSE,FALSE,11470
Katarzyna ,Wilk ,POL,A ,54.38,Women's 100 Freestyle,Katarzyna Wilk,Katarzyna Wilk POL,FALSE,,FALSE,TRUE,5438
Veronika ,Popova ,RUS,A ,54.33,Women's 100 Freestyle,Veronika Popova,Veronika Popova RUS,TRUE,,FALSE,FALSE,5433
Veronika ,Popova ,RUS,A ,01:56.0,Women's 200 Freestyle,Veronika Popova,Veronika Popova RUS,TRUE,,FALSE,FALSE,11600
Michelle ,Coleman ,SWE,A ,53.54,Women's 100 Freestyle,Michelle Coleman,Michelle Coleman SWE,TRUE,,FALSE,FALSE,5354
Michelle ,Coleman ,SWE,A ,01:55.9,Women's 200 Freestyle,Michelle Coleman,Michelle Coleman SWE,TRUE,,FALSE,FALSE,11590
Michelle ,Coleman ,SWE,B ,01:00.6,Women's 100 Backstroke,Michelle Coleman,Michelle Coleman SWE,TRUE,,FALSE,FALSE,6060
Nina ,Rangelova ,BUL,B ,54.76,Women's 100 Freestyle,Nina Rangelova,Nina Rangelova BUL,TRUE,,FALSE,FALSE,5476
Nina ,Rangelova ,BUL,A ,01:58.3,Women's 200 Freestyle,Nina Rangelova,Nina Rangelova BUL,TRUE,,FALSE,FALSE,11830
Maria ,Ugolkova ,SUI,B ,55.07,Women's 100 Freestyle,Maria Ugolkova,Maria Ugolkova SUI,TRUE,,FALSE,FALSE,5507
Maria ,Ugolkova ,SUI,A ,02:12.9,Women's 200 Individual Medley,Maria Ugolkova,Maria Ugolkova SUI,TRUE,,FALSE,FALSE,13290
Bronte ,Barratt ,AUS,A ,01:56.3,Women's 200 Freestyle,Bronte Barratt,Bronte Barratt AUS,TRUE,,FALSE,FALSE,11630
Emma ,McKeon ,AUS,A ,01:54.8,Women's 200 Freestyle,Emma McKeon,Emma McKeon AUS,TRUE,,FALSE,FALSE,11480
Emma ,McKeon ,AUS,A ,56.89,Women's 100 Butterfly,Emma McKeon,Emma McKeon AUS,TRUE,,FALSE,FALSE,5689
Manuella ,Lyrio ,BRA,A ,01:58.0,Women's 200 Freestyle,Manuella Lyrio,Manuella Lyrio BRA,TRUE,,FALSE,FALSE,11800
Manuella ,Lyrio ,BRA,B ,04:09.5,Women's 400 Freestyle,Manuella Lyrio,Manuella Lyrio BRA,TRUE,,FALSE,FALSE,24950
Brittany ,MacLean ,CAN,A ,01:56.9,Women's 200 Freestyle,Brittany MacLean,Brittany MacLean CAN,TRUE,,FALSE,FALSE,11690
